topic_id,weight
2,146.2818760425385
21,108.17744727143885
9,65.89096461038775
20,49.299705607182126
12,29.63847090011705
19,25.67732516841419
17,21.427197122218388
4,19.74246309794805
23,8.232511975127114
14,6.825643545989987
16,5.791679270988331
15,5.460625145118783
3,4.799689169839295
1,3.7531086990947524
18,3.7272295369975277
13,3.48581587186431
5,3.291441653238285
11,2.439254440657988
8,1.216717340711066
22,0.17689116677491173
6,0.12845819046777468
10,0.051530094279709476
7,0.00011582122956919314
0,1.0701568344356916e-09
